,country,Population,page,rev_id
7629,Carniolan,0,Ivan Lorković,789263095.0
7630,Carniolan,0,Mihael Preiss,738955897.0
7631,Carniolan,0,Karel Dežman,716574519.0
7632,Carniolan,0,Josip Vilfan,717350390.0
7633,Carniolan,0,Bogumil Vošnjak,747945423.0
7634,Carniolan,0,Lovro Toman,744636212.0
7635,Carniolan,0,Philipp von Cobenzl,790213148.0
7636,Carniolan,0,Janez Evangelist Krek,726434981.0
7637,Carniolan,0,Josip Vošnjak,777588436.0
7801,Chechen,0,Tapa Tchermoeff,804557776.0
7802,Chechen,0,Abdul-Halim Sadulayev,804279165.0
7803,Chechen,0,Mairbek Sheripov,787163671.0
7804,Chechen,0,Ibragim Khultygov,782430810.0
7805,Chechen,0,Aslambek Aslakhanov,789949907.0
7806,Chechen,0,Ruslan Alikhadzhiyev,807354708.0
7807,Chechen,0,Beibulat Taimiev,765616552.0
7808,Chechen,0,Sheikh Mansur,797258871.0
7809,Chechen,0,President of Ichkeria,804275742.0
7810,Chechen,0,Supyan Abdullayev,804277842.0
7811,Chechen,0,Idris Gaibov,807180397.0
7812,Chechen,0,Khozh-Ahmed Noukhayev,707217873.0
7813,Chechen,0,Alu Alkhanov,789327678.0
7814,Chechen,0,Ilyas Akhmadov,803177211.0
7815,Chechen,0,Dokka Umarov,804279341.0
7816,Chechen,0,Ramzan Kadyrov,805869321.0
7817,Chechen,0,Sergey Abramov (politician),794171049.0
7818,Chechen,0,Ruslan Yamadayev,807454176.0
7819,Chechen,0,Dzhokhar Dudayev,802950350.0
7820,Chechen,0,Ali Mitayev,798580067.0
7821,Chechen,0,Said-Khasanom Abumuslimov,804276832.0
7822,Chechen,0,Zelimkhan Yandarbiyev,804279009.0
7823,Chechen,0,Akhmed Zakayev,797214106.0
7824,Chechen,0,Malik Saidullaev,794893770.0
7825,Chechen,0,Alibek Delimkhanov,762868684.0
7826,Chechen,0,Movladi Udugov,783907075.0
7827,Chechen,0,Doku Zavgayev,784167327.0
7828,Chechen,0,Ruslan Gelayev,803469952.0
7829,Chechen,0,Umar Dzhabrailov,805794113.0
7830,Chechen,0,Akhmad Kadyrov,802665757.0
7831,Chechen,0,Isa Gendergenoevsky,772274868.0
7832,Chechen,0,Head of the Chechen Republic,786231010.0
7833,Chechen,0,Adam Delimkhanov,789328171.0
7834,Chechen,0,Aslan Maskhadov,804279119.0
7835,Chechen,0,Ruslan Khasbulatov,791803238.0
7836,Chechen,0,Vakha Arsanov,804276940.0
7837,Chechen,0,Shamil Basayev,804277603.0
7838,Chechen,0,Turpal-Ali Atgeriyev,801036587.0
9803,"Congo, Dem. Rep.",84.3,0,0.0
9804,"Congo, Dem. Rep. of",0,Odette Babandoa Etoa,799331221.0
