country,population,page,rev_id,prediction
Carniolan,0,Josip Vošnjak,777588436.0,Start
Carniolan,0,Fran Levstik,755713654.0,Start
Carniolan,0,Karel Lavrič,741794691.0,C
Carniolan,0,Andrej Einspieler,789072979.0,Start
Carniolan,0,Etbin Henrik Costa,729435354.0,Start
Carniolan,0,Janez Bleiweis,780281974.0,Start
Carniolan,0,Luka Svetec,717669055.0,Start
Carniolan,0,Ivan Šusteršič,789681987.0,Start
Chechen,0,Sergey Abramov (politician),794171049.0,Stub
Chechen,0,Ruslan Yamadayev,807454176.0,C
Chechen,0,Dokka Umarov,804279341.0,B
Chechen,0,Vakha Arsanov,804276940.0,C
Chechen,0,Ruslan Khasbulatov,791803238.0,Start
Chechen,0,Aslan Maskhadov,804279119.0,C
Chechen,0,Adam Delimkhanov,789328171.0,Start
Chechen,0,Akhmad Kadyrov,802665757.0,C
Chechen,0,Movladi Udugov,783907075.0,C
Chechen,0,Isa Gendergenoevsky,772274868.0,Stub
Chechen,0,Doku Zavgayev,784167327.0,Start
Chechen,0,Alibek Delimkhanov,762868684.0,Stub
Chechen,0,Akhmed Zakayev,797214106.0,B
Chechen,0,Mairbek Sheripov,787163671.0,Stub
Chechen,0,Zelimkhan Yandarbiyev,804279009.0,C
Chechen,0,Umar Dzhabrailov,805794113.0,B
Chechen,0,Tapa Tchermoeff,804557776.0,Start
Chechen,0,President of Ichkeria,804275742.0,Start
Chechen,0,Shamil Basayev,804277603.0,C
Chechen,0,Head of the Chechen Republic,786231010.0,Start
Chechen,0,Ruslan Gelayev,803469952.0,B
Chechen,0,Abdul-Halim Sadulayev,804279165.0,C
Chechen,0,Ilyas Akhmadov,803177211.0,Start
Chechen,0,Turpal-Ali Atgeriyev,801036587.0,Start
Chechen,0,Alu Alkhanov,789327678.0,C
Chechen,0,Khozh-Ahmed Noukhayev,707217873.0,C
Chechen,0,Ramzan Kadyrov,805869321.0,GA
Chechen,0,Idris Gaibov,807180397.0,Stub
Chechen,0,Supyan Abdullayev,804277842.0,Start
Chechen,0,Aslambek Aslakhanov,789949907.0,Stub
Chechen,0,Said-Khasanom Abumuslimov,804276832.0,Stub
Chechen,0,Sheikh Mansur,797258871.0,Start
Chechen,0,Beibulat Taimiev,765616552.0,Start
Chechen,0,Ruslan Alikhadzhiyev,807354708.0,Start
Chechen,0,Ibragim Khultygov,782430810.0,Stub
Chechen,0,Dzhokhar Dudayev,802950350.0,C
Chechen,0,Ali Mitayev,798580067.0,Start
Chechen,0,Malik Saidullaev,794893770.0,Start
"Congo, Dem. Rep.",84.3,0,0.0,0
"Congo, Dem. Rep. of",0,André Lubaya,806545614.0,Start
"Congo, Dem. Rep. of",0,Thomas Kanza,801348128.0,GA
"Congo, Dem. Rep. of",0,Évariste Boshab,765925554.0,Stub
"Congo, Dem. Rep. of",0,Lambert Mende Omalanga,786579616.0,Stub
"Congo, Dem. Rep. of",0,Sultani Makenga,765834828.0,Start
"Congo, Dem. Rep. of",0,Alphonse Songolo,802154801.0,C
"Congo, Dem. Rep. of",0,Jules Fontaine Sambwa,765570258.0,Start
"Congo, Dem. Rep. of",0,Théophile Mbemba Fundu,705707214.0,Stub
"Congo, Dem. Rep. of",0,Laurent Nkunda,800298783.0,C
"Congo, Dem. Rep. of",0,Luzolo Bambi Lessa,782618365.0,Start
"Congo, Dem. Rep. of",0,Daniel Kanza,805523382.0,C
"Congo, Dem. Rep. of",0,List of heads of state of the Democratic Republic of the Congo,802197658.0,Start
"Congo, Dem. Rep. of",0,Myra Ndjoku Manianga,705723441.0,Stub
"Congo, Dem. Rep. of",0,Nkulu Mitumba Kilombo,800087105.0,Stub
"Congo, Dem. Rep. of",0,Emmanuel Leku Apuobo,713198718.0,Stub
"Congo, Dem. Rep. of",0,Jules Mutebusi,802411491.0,Start
"Congo, Dem. Rep. of",0,Jean-Chrysostome Werengemere,806947596.0,C
"Congo, Dem. Rep. of",0,Mulumba Lukoji,743061455.0,Stub
"Congo, Dem. Rep. of",0,Adam Bombolé,787602247.0,Stub
"Congo, Dem. Rep. of",0,Banza Mukalay,765924619.0,Start
"Congo, Dem. Rep. of",0,Noel K Tshiani Muadiamvita,772818039.0,C
"Congo, Dem. Rep. of",0,Freddy Matungulu,796099032.0,C
"Congo, Dem. Rep. of",0,Odilon Kafitwe wa pa Bowa,780757242.0,Stub
"Congo, Dem. Rep. of",0,Medard Mulangala,798948484.0,C
"Congo, Dem. Rep. of",0,N'Singa Udjuu,765799213.0,Stub
"Congo, Dem. Rep. of",0,Mabi Mulumba,765799138.0,Stub
"Congo, Dem. Rep. of",0,Jean Collins Musonda Kalusambo,714150941.0,Stub
"Congo, Dem. Rep. of",0,Pierre Mulele,803335436.0,C
"Congo, Dem. Rep. of",0,Josué Alex Mukendi,765871730.0,Stub
"Congo, Dem. Rep. of",0,Kasongo Ilunga,774263410.0,Start
"Congo, Dem. Rep. of",0,Banyingela Kasonga,790586686.0,Start
"Congo, Dem. Rep. of",0,Adolphe Muzito cabinet,787716080.0,B
"Congo, Dem. Rep. of",0,Raymond Tshibanda,765923988.0,Start
"Congo, Dem. Rep. of",0,Emmanuel Dungia,797348410.0,C
"Congo, Dem. Rep. of",0,Louis Alphonse Koyagialo,782350026.0,Start
"Congo, Dem. Rep. of",0,Adolphe Lumanu,787715913.0,Stub
"Congo, Dem. Rep. of",0,Ntumba Luaba,705723187.0,Start
"Congo, Dem. Rep. of",0,Laurent-Désiré Kabila,805923394.0,C
"Congo, Dem. Rep. of",0,Jonas Mukamba Kadiata Nzemba,782825984.0,Start
"Congo, Dem. Rep. of",0,Koloso Sumaili,708359204.0,Stub
"Congo, Dem. Rep. of",0,Gérard Gifuza,708358969.0,Stub
"Congo, Dem. Rep. of",0,Victor Nendaka Bika,806383479.0,Start
"Congo, Dem. Rep. of",0,Laurent Mbariko,789487250.0,Start
